,idSucursal,comercioId,banderaId,banderaDescripcion,comercioRazonSocial,provincia,localidad,direccion,lat,lng,sucursalNombre,sucursalTipo
1243,35,15,1,Supermercados Dia,Dia Argentina S.A,Ar-C,Capital Federal,Cl Boedo 875,-34.6235872,-58.41627560000001,35 - Boedo,Autoservicio
1244,350,15,1,Supermercados Dia,Dia Argentina S.A,Ar-C,Capital Federal,Av Alvarez Thomas 849,-34.5794505,-58.4541889,350 - Colegiales,Autoservicio
1245,352,15,1,Supermercados Dia,Dia Argentina S.A,Ar-C,Capital Federal,Av Bernardo De Irigoyen 1518,-34.626338700000005,-58.37891870000001,352 - Constitucion,Autoservicio
1246,353,15,1,Supermercados Dia,Dia Argentina S.A,Ar-B,Gral Pinto,Adolfo Alsina 540,-34.764896,-61.89281800000001,353 - Gral Pinto,Autoservicio
1247,354,15,1,Supermercados Dia,Dia Argentina S.A,Ar-C,Capital Federal,Av De Los Incas 4355,-34.580357,-58.472993,354 - Villa Ortuzar,Autoservicio
1248,355,15,1,Supermercados Dia,Dia Argentina S.A,Ar-C,Capital Federal,Av Rivadavia 3050,-34.610235,-58.409618,355 - Balvanera,Autoservicio
1249,356,15,1,Supermercados Dia,Dia Argentina S.A,Ar-C,Capital Federal,Av Francisco Fernandez De La Cruz 3596,-34.6643978,-58.4489591,356 - Villa Soldati,Autoservicio
1250,357,15,1,Supermercados Dia,Dia Argentina S.A,Ar-C,Capital Federal,Iriarte 2262,-34.649404600000004,-58.37912339999999,357 - Barracas,Autoservicio
1251,358,15,1,Supermercados Dia,Dia Argentina S.A,Ar-C,Capital Federal,Av Eva Peron 4139,-34.651053999999995,-58.4712834,358 - Parque Avellaneda,Autoservicio
1252,359,15,1,Supermercados Dia,Dia Argentina S.A,Ar-C,Capital Federal,Av Cordoba 4085,-34.597157700000004,-58.4246163,359 - Palermo,Autoservicio
1253,36,15,1,Supermercados Dia,Dia Argentina S.A,Ar-C,Capital Federal,Cl Jose Maria Moreno 779,-34.627765999999994,-58.4338966,36 - Caballito,Autoservicio
1254,360,15,1,Supermercados Dia,Dia Argentina S.A,Ar-C,Capital Federal,Av Reg.De Patricios 1214,-34.6412489,-58.36907410000001,360 - Barracas,Autoservicio
1255,361,15,1,Supermercados Dia,Dia Argentina S.A,Ar-C,Capital Federal,Av Almirante Brown 803,-34.6320434,-58.3608448,361 - La Boca,Autoservicio
1256,362,15,1,Supermercados Dia,Dia Argentina S.A,Ar-C,Capital Federal,Av Scalabrini Ortiz 81,-34.601533399999994,-58.4413993,362 - Villa Crespo,Autoservicio
1257,363,15,1,Supermercados Dia,Dia Argentina S.A,Ar-C,Capital Federal,San Jose 1818,-34.630166,-58.3855908,363 - Constitucion,Autoservicio
1258,364,15,1,Supermercados Dia,Dia Argentina S.A,Ar-C,Capital Federal,Av De Los Constituyentes 6047,-34.5718154,-58.5059748,364 - Villa Urquiza,Autoservicio
1259,365,15,1,Supermercados Dia,Dia Argentina S.A,Ar-C,Capital Federal,Av Del Carril Salvador M. 2424,-34.5873745,-58.4927966,365 - Villa Pueyrredon,Autoservicio
1260,366,15,1,Supermercados Dia,Dia Argentina S.A,Ar-C,Capital Federal,Av Olazabal 4832,-34.5750195,-58.4833173,366 - Villa Urquiza,Autoservicio
1261,367,15,1,Supermercados Dia,Dia Argentina S.A,Ar-B,America,San Martin 156,-35.48775900000001,-62.975086,367 - America,Autoservicio
1262,368,15,1,Supermercados Dia,Dia Argentina S.A,Ar-C,Capital Federal,Av Cobo 1477,-34.6424371,-58.4358917,368 - Parque Chacabuco,Autoservicio
1263,369,15,1,Supermercados Dia,Dia Argentina S.A,Ar-C,Capital Federal,Av Juan B.Alberdi 2859,-34.6226946,-58.43155649999999,369 - Flores,Autoservicio
1264,37,15,1,Supermercados Dia,Dia Argentina S.A,Ar-B,Vicente Lopez,Cl Rawson 3773,-34.4978183,-58.48926850000001,37 - Vicente Lopez,Autoservicio
